source,name,category,average_rating,price_range,latitude,longitude,description
OpenStreetMap,Ipar's Restaurante Y Bar De Tapas,restaurant,,,10.3058031,123.8976289,
OpenStreetMap,Bo's Coffee,cafe,,,10.3090977,123.8951108,
OpenStreetMap,Mae Krua Thai Cuisine,restaurant,,,10.3058451,123.897375,Restuarant - Thai Cuisine
OpenStreetMap,Starbucks,cafe,,,10.307967,123.8941112,
OpenStreetMap,Shakey's Pizza,restaurant,,,10.3102999,123.8921602,
OpenStreetMap,Holiday Spa and Gym,sports_centre,,,10.3296276,123.9110839,Spa and Gym
OpenStreetMap,Twin Garden Hotel,hotel,,,10.3432791,123.9129436,
OpenStreetMap,Ryan's Pizzarelli House,restaurant,,,10.3148026,123.8951961,
OpenStreetMap,Century Plaza Hotel,hotel,,,10.3116493,123.8944189,
OpenStreetMap,Palladium Suites,hotel,,,10.3108443,123.894885,
OpenStreetMap,Casa Del Mar Golf & Dive Hotel,hotel,,,11.0474622,123.916518,
OpenStreetMap,Hard Rock Resort,hotel,,,10.9587412,123.9216788,
OpenStreetMap,El Garaje,bar,,,10.3160708,123.9026475,
OpenStreetMap,JRA Seafood,restaurant,,,10.3114699,123.9022715,
OpenStreetMap,Café George,restaurant,,,10.3296615,123.909906,
OpenStreetMap,Bo's Coffee Club,cafe,,,10.3413033,123.9125426,
OpenStreetMap,Royal Krua Thai,restaurant,,,10.341282,123.9126421,
OpenStreetMap,Postrio,cafe,,,10.3412128,123.9127712,
OpenStreetMap,The Sizzlin' Pepper Steak,restaurant,,,10.3189868,123.9049204,
OpenStreetMap,Carbin Reef,park,,,10.9791607,123.4645946,
OpenStreetMap,Wakamatsu,restaurant,,,10.3218415,123.9131797,
OpenStreetMap,Berachah Inland Resort and Recreation Center,hotel,,,10.13349,124.284454,
OpenStreetMap,The Ranch Resort,resort,,,10.3349628,123.5933062,
OpenStreetMap,The Ranch Resort,restaurant,,,10.3353962,123.5937021,
OpenStreetMap,Wombat's Womb Cafe,cafe,,,10.2935114,123.9876713,
OpenStreetMap,Wombat's Womb Cafe,bar,,,10.29358,123.9877625,
OpenStreetMap,Wombat's Womb Cafe,cafe,,,10.2936988,123.9879314,
OpenStreetMap,Pirates Bar,bar,,,11.3269572,124.1185225,
OpenStreetMap,Haifisch Bar,bar,,,11.3271369,124.1157828,
OpenStreetMap,Maldito,bar,,,11.3280729,124.1139996,
OpenStreetMap,Little Mermaid,bar,,,11.327328,124.1167481,
OpenStreetMap,BlueWater,restaurant,,,11.3271524,124.1151965,
OpenStreetMap,Bakhaw Kiwi,restaurant,,,11.3298952,124.1163351,
OpenStreetMap,Sarkeys Restaurant Purple Snapper,restaurant,,,11.3288707,124.1193459,
OpenStreetMap,AABANA Beach Resort,beach_resort,,,11.3299409,124.1213584,
OpenStreetMap,Dal ROTI Corner,cafe,,,10.3022494,123.8892527,
OpenStreetMap,10.9 RestoBar,restaurant,,,10.4869007,123.4145676,
OpenStreetMap,Picnic Area,picnic_site,,,10.4857015,123.4253983,
OpenStreetMap,Manyapyap Gorge,viewpoint,,,10.4723901,123.9190425,
OpenStreetMap,Golden Cowrie,restaurant,,,10.3287846,123.9026446,
OpenStreetMap,FB Travellers Inn,hotel,,,10.4839329,123.4112313,
OpenStreetMap,Lipata Airsoft / Motorcross Gamesite,pitch,,,10.2534706,123.8136974,
OpenStreetMap,Mahlzeit MealTime!,restaurant,,,10.3310372,123.9438776,
OpenStreetMap,Guadalupe Reef,attraction,,,10.4494788,123.3753481,
OpenStreetMap,Osmol Reef,attraction,,,10.4790549,123.4269026,
OpenStreetMap,San Antonio Reef,attraction,,,10.457417,123.3908117,
OpenStreetMap,Carlitos Crispy Fried Chicken,restaurant,,,11.1551564,123.8057603,
OpenStreetMap,Costabella Resort,hotel,,,10.288819,124.0058272,
OpenStreetMap,Grand Convention,restaurant,,,10.3224271,123.9042636,
OpenStreetMap,Montebello Villa Hotel,hotel,,,10.3391296,123.909404,
OpenStreetMap,Moon Cafe,restaurant,,,10.3284982,123.9060478,
OpenStreetMap,Starbucks,cafe,,,10.3276354,123.9066949,
OpenStreetMap,Moon Cafe,restaurant,,,10.3106366,123.8917759,
OpenStreetMap,Firozian Indian Tea House,restaurant,,,10.3151729,123.8921963,
OpenStreetMap,Rajah Park Hotel,hotel,,,10.310283,123.893817,
OpenStreetMap,Richmond Hotel,hotel,,,10.3140619,123.9014882,
OpenStreetMap,St. Mortiz Restaurant,restaurant,,,10.3157613,123.9025181,
OpenStreetMap,St. Mortiz Bar,bar,,,10.315793,123.9025986,
OpenStreetMap,Stikili Beach Resort,motel,,,10.4367998,124.0101683,
OpenStreetMap,Mang Inasal,restaurant,,,10.3356067,123.9338755,
OpenStreetMap,Koreana Grocery,restaurant,,,10.3437405,123.9121654,
OpenStreetMap,Korner Kafe,cafe,,,10.3381113,123.9427006,
OpenStreetMap,Fuente Oro Business Suites,hotel,,,10.3127987,123.8926538,
OpenStreetMap,B.C. Pension,guest_house,,,10.9542926,123.3075142,
OpenStreetMap,Magdalene Hotel,hotel,,,10.9563193,123.3020914,
OpenStreetMap,Laura Hotel,hotel,,,10.9555145,123.3045101,
OpenStreetMap,Butterfly Sanctuary,attraction,,,10.2908663,123.8647388,
OpenStreetMap,Bo's Coffee,cafe,,,10.3354282,123.9340019,
OpenStreetMap,Dong Juan,restaurant,,,10.336072,123.9346697,
OpenStreetMap,Tsiboom,restaurant,,,10.3358425,123.934887,
OpenStreetMap,Chika-an,restaurant,,,10.3258259,123.9340984,
OpenStreetMap,Coffee Dream,cafe,,,10.3246411,123.9346939,
OpenStreetMap,Dong Juan,restaurant,,,10.3247651,123.9346805,
OpenStreetMap,Bo's Coffee,cafe,,,10.3252189,123.9339965,
OpenStreetMap,Joven's Grill,restaurant,,,10.3244036,123.9345222,
OpenStreetMap,Moon Cafe,restaurant,,,10.32581,123.9346322,
OpenStreetMap,Tandoori,restaurant,,,10.3252928,123.9338651,
OpenStreetMap,CDU,swimming_pool,,,10.3204352,123.9338443,
OpenStreetMap,Atek's Ngoyong Train,restaurant,,,10.3250751,123.9116573,
OpenStreetMap,Cebu Phoenix Villa Hotel,hotel,,,10.2943348,123.9879629,
OpenStreetMap,Jose Rizal Monument,memorial,,,11.1540735,123.8068102,
OpenStreetMap,Ben's Payag,cafe,,,11.1536862,123.8048115,
OpenStreetMap,Balikbayan,restaurant,,,11.1531402,123.8039901,
OpenStreetMap,El Sueño Resort and Restaurant,restaurant,,,10.3137022,124.0038423,
OpenStreetMap,Island Stay Hotel,hotel,,,10.3257089,123.9754109,
OpenStreetMap,Go Dong Ri Korean,restaurant,,,10.3230543,123.9785706,
OpenStreetMap,Hukad sa Golden Cowrie,restaurant,,,10.3254518,123.9769108,
OpenStreetMap,Buena Vista Restaurant,bar,,,10.2858146,123.9989549,
OpenStreetMap,Cebu White Sands Resort and Spa,hotel,,,10.2871876,123.9990446,
OpenStreetMap,Patio Gavino,restaurant,,,10.2864542,123.9993454,
OpenStreetMap,City of Bogo Museum,museum,,,11.0512428,124.0033991,
OpenStreetMap,R&F Function,hotel,,,11.0510557,124.0061627,
OpenStreetMap,Discovery Hills - SRCDS Tilhaong,camp_site,,,10.4033295,123.9598557,
OpenStreetMap,Carlo's Batchoy,restaurant,,,10.3156792,123.8913255,
OpenStreetMap,Bantayan Cottages,hotel,,,11.1591781,123.8055038,
OpenStreetMap,4D's Pension House,hotel,,,11.054517,124.0126408,
OpenStreetMap,Local Eateria,restaurant,,,10.4907423,123.8907752,
