model,metric,k,value
cbf,precision,5,0.2043
cbf,precision,10,0.1755
cbf,recall,5,0.192
cbf,recall,10,0.2725
cbf,ndcg,5,0.2579
cbf,ndcg,10,0.2602
cf,precision,5,0.1915
cf,precision,10,0.1681
cf,recall,5,0.184
cf,recall,10,0.2599
cf,ndcg,5,0.2261
cf,ndcg,10,0.2346
hybrid,precision,5,0.2468
hybrid,precision,10,0.216
hybrid,recall,5,0.21
hybrid,recall,10,0.3084
hybrid,ndcg,5,0.2773
hybrid,ndcg,10,0.2855
